napkin	'næpkɪn	салфетка
scale	skeɪl	чешуя,  чаша весов,  масштаб,  градация
while	(h)waɪl	пока,  в то время как,  промежуток времени
apartment	ǝ'pɑ:tmǝnt	комната
limb	lɪm	конечность (человека или животного),  ветка
entrust	ɪn'trʌst	поручать (кому-л.)
norm	nɔ:m	норма,  стандарт
nasty	'nɑ:stɪ	отвратительный,  грязный
cold	kǝʊld	холодный,  беспристрастный
holiday	'hɒlǝdeɪ	праздник,  каникулы
undergo	,ʌndǝ'gǝʊ	испытывать,  подвергаться (чему-л.)
niece	ni:s	племянница
insert	ɪn'sɜ:t	вклейка (в книге),  вставлять,  вкладывать
voltage	'vǝʊltɪʤ	электрическое напряжение
order	'ɔ:dǝ	порядок,  исправность,  приказ
hint	hɪnt	намёк
wardrobe	'wɔ:drǝʊb	гардероб,  шкаф
weary	'wɪǝrɪ	усталый,  утомлённый
shed	ʃed	проливать,  ронять,  навес,  сарай
grocer	'grǝʊsǝ	торговец бакалейными товарами,  бакалейщик
bullet	bʊlɪt	пуля,  грузило
apron	eɪpr(ǝ)n	передник,  фартук
relieve	rɪ'li:v	помогать,  облегчать
possible	'pɒsǝbl	вероятный,  возможный
shut	ʃʌt	закрывать
playmate	'pleɪmeɪt	друг детства,  товарищ по детским играм
spill	spɪl	проливать,  рассыпать,  лучина,  щепка
private	'praɪvɪt	частный,  личный,  секретный
crimson	'krɪmz(ǝ)n	малиновый
saw	sɔ:	пила
proper	'prɒpǝ	присущий,  правильный
vocabulary	vǝ'kæbjʊl(ǝ)rɪ	словарь
interval	'ɪntǝv(ǝ)l	промежуток,  расстояние
barn	bɑ:n	амбар,  сарай,  конюшня
capacity	kǝ'pæsǝtɪ	вместимость,  способность (что-л. делать)
but	bʌt	но,  а,  лишь,  только
rung	rʌŋ	ступенька (лестницы),  перекладина,  звенел
example	ɪg'zɑ:mpl	пример
gap	gæp	брешь,  щель
rate	reɪt	норма,  цена,  ругать
anxiety	æŋ(g)'zaɪǝtɪ	беспокойство,  тревога,  боязнь
stain	steɪn	пятно,  позор
cobweb	'kɒbweb	паутина,  прозрачная ткань
such	sʌʧ	такой
poor	pɔ:, pʊǝ	бедный
harness	'hɑ:nɪs, 'hɑ:nǝs	упряжь,  сбруя
chest	ʧest	ящик,  коробка,  грудная клетка
smelt	smelt	расплавленный металл
drip	drɪp	капать
contradict	,kɒntrǝ'dɪkt	противоречить,  возражать
multiplication	,mʌltɪplɪ'keɪʃ(ǝ)n	умножение
liberate	'lɪb(ǝ)reɪt	освобождать
athlete	æθli:t	спортсмен,  легкоатлет
outskirts	'aʊtskɜ:ts	окраина (города),  опушка (леса)
gypsy	'ʤɪpsɪ	цыган
nephew	'nefju:, 'nevju:	племянник
degree	dɪ'gri:	степень,  уровень
meat	mi:t	мясо
peace	pi:s	мир,  спокойствие
unite	ju:'naɪt	объединять
mistake	mɪ'steɪk	ошибка
wave	weɪv	волна,  развеваться (о флагах)
carnation	kɑ:'neɪʃ(ǝ)n	гвоздика
faith	feɪθ	вера,  доверие
field	fi:ld	поле,  широкое пространство
tomato	tǝ'mɑ:tǝʊ	помидор,  томат
fear	fɪǝ	боязнь,  страх
selfish	'selfɪʃ	эгоистичный
source	sɔ:s	источник
feel	fi:l	чувствовать,  ощупывать
worst	wɜ:st	наихудший
design	dɪ'zaɪn	замысел,  план
cheese	ʧi:z	сыр,  нечто важное,  прекращать
right	raɪt	правый,  правильный
asylum	ǝ'saɪlǝm	убежище,  защита,  приют
moon	mu:n	луна
address	ǝ'dres	адрес,  место жительства
alter	ɔ:ltǝ	изменять
jeer	ʤɪǝ	насмехаться
woman	'wʊmǝn	женщина
clock	klɒk	часы (настенные, настольные, башенные)
astonishment	ǝ'stɒnɪʃmǝnt	изумление,  удивление
fuel	fju:ǝl	топливо,  горючее
lord	lɔ:d	господин
foresight	'fɔ:saɪt	предвидение,  благоразумие
appearance	ǝ'pɪǝr(ǝ)n(t)s	появление,  внешний вид
legislation	,leʤɪ'sleɪʃ(ǝ)n	законодательство
principle	'prɪn(t)sǝpl	правило,  закон,  принцип
embark	ɪm'bɑ:k	грузиться,  садиться на корабль
avenue	ævǝnju:	аллея к дому, обсаженная деревьями,  широкая улица
fly	flaɪ	муха,  летать
code	kǝʊd	свод законов (государства),  шифр
annex	æneks	приложение,  дополнение (к тексту)
saucer	'sɔ:sǝ	блюдце
pier	pɪǝ	дамба,  причал
storm	stɔ:m	буря
alphabet	ælfǝbǝt	алфавит,  азбука
satellite	'sæt(ǝ)laɪt	спутник
acknowledge	ǝk'nɒlɪʤ	сознавать,  допускать,  признавать
abstract	æbstrækt	абстракция,  отвлечённое понятие,  малопонятный
club	klʌb	дубинка,  клюшка,  клуб,  трефовая масть
relative	'relǝtɪv	родственник,  относительный,  сравнительный
rot	rɒt	гниение,  полоса неудач
receive	rɪ'si:v	получить,  принимать (гостей)
flax	flæks	лён
furniture	'fɜ:nɪʧǝ	мебель,  обстановка,  принадлежности
vanish	'vænɪʃ	исчезать
atmosphere	ætmǝsfɪǝ	атмосфера,  обстановка
brave	breɪv	отважный,  индейский воин
arrow	ærǝʊ	стрела
wish	wɪʃ	желать,  хотеть
support	sǝ'pɔ:t	поддержка,  помощь
cherry	ʧerɪ	вишня
behaviour	bɪ'heɪvjǝ	образ действий,  поведение
tidy	'taɪdɪ	аккуратный,  салфетка
trail	treɪl	след (человека или животного),  тропинка
arrange	ǝ'reɪnʤ	приводить в порядок,  расставлять
initial	ɪ'nɪʃ(ǝ)l	начальный,  исходный
undeniable	,ʌndɪ'naɪǝbl	неоспоримый,  неопровержимый
bold	bǝʊld	смелый,  храбрый,  наглый
acre	eɪkǝ	акр (единица площади = 0,4 га = 4047 кв.м)
pebble	'pebl	галька,  горный хрусталь
jacket	'ʤækɪt	куртка
gloom	glu:m	мрак,  темнота
quote	kwǝʊt	цитировать,  назначать цену
there	ðeǝ	там,  туда
atrocity	ǝ'trɒsǝtɪ	жестокость,  злодеяние
mad	mæd	сумасшедший,  ненормальный
style	staɪl	стиль,  манера
naughty	'nɔ:tɪ	непослушный
clumsy	'klʌmzɪ	неповоротливый,  неуклюжий
yacht	jɒt	яхта
crop	krɒp	урожай,  жатва,  посев
swim	swɪm	плавать
botanical	bǝ'tænɪk(ǝ)l	ботанический
complicate	'kɒmplɪkeɪt	затруднять,  усложнять
cook	kʊk	повар,  готовить
hike	haɪk	длительная прогулка,  путешествие пешком
coffin	'kɒfɪn	гроб
ready	'redɪ	готовый (к действию)
pincers	'pɪn(t)sǝz	щипцы,  пинцет
glitter	'glɪtǝ	блестеть,  сверкать
jolly	'ʤɒlɪ	весёлый,  радостный
cannon	'kænǝn	пушка,  револьвер,  столкнуться
safe	seɪf	безопасный,  надёжный,  сейф
tale	teɪl	рассказ,  сказка
wise	waɪz	мудрый,  метод,  способ
furnace	'fɜ:nɪs	очаг
affirmative	ǝ'fɜ:mǝtɪv	положительный,  утвердительный,  заявление
botany	bɒtǝnɪ	ботаника
chair	ʧeǝ	стул,  должность
suitable	'su:tǝbl, 'sju:tǝbl	годный,  подходящий
nowhere	'nǝʊweǝ	нигде,  никуда
girdle	'gɜ:dl	пояс,  ремень
truth	tru:θ	правда,  истина
state	steɪt	состояние,  положение,  государство,  штат
disgust	dɪs'gʌst	отвращение
beg	beg	просить,  умолять
excite	ɪk'saɪt	побуждать,  стимулировать
pond	pɒnd	пруд
port	pɔ:t	гавань,  осанка,  левый борт (корабля),  портвейн
estate	ɪs'teɪt	поместье,  имущество
obligation	,ɒblɪ'geɪʃ(ǝ)n	гарантия,  обязательство
consumer	kǝn'sju:mǝ	потребитель
coffer	'kɒfǝ	сундук,  казна
festival	'festɪv(ǝ)l	празднество
opinion	ǝ'pɪnjǝn	мнение,  оценка
variety	vǝ'raɪǝtɪ	разнообразие,  варьете
attache	ǝ'tæʃeɪ	атташе посольства
entry	'entrɪ	вход,  въезд,  проход
commerce	'kɒmɜ:s, kǝmɜ:s	(оптовая) торговля,  коммерция,  общение
patent	'peɪt(ǝ)nt	открытый,  доступный,  патент
lost	lɒst	потерянный
barely	beǝlɪ	просто,  всего лишь,  еле-еле
break	breɪk	ломать,  разбивать (на части)
cost	kɒst	цена,  затраты
tobacco	tǝ'bækǝʊ	табак
absolutely	,æbs(ǝ)'lu:tlɪ	совершенно,  безусловно
often	'ɒf(ǝ)n, 'ɒft(ǝ)n	часто
single	'sɪŋgl	один,  единственный
interfere	,ɪntǝ'fɪǝ	пересекаться,  скрещиваться (в пространстве)
casualty	'kæʒʊǝltɪ	катастрофа,  авария
secret	'si:krǝt	секрет,  тайна
invaluable	ɪn'væljʊǝbl	бесценный
paid	peɪd	платный
muscle	'mʌsl	мышца
amendment	ǝ'men(d)mǝnt	поправка (к резолюции, законопроекту)
blunder	blʌndǝ	грубая ошибка,  просчёт
brunette	bru:'net	брюнетка
substitute	'sʌbstɪtju:t	заместитель,  заменять
pave	peɪv	мостить,  выстилать (пол)
doubt	daʊt	сомневаться
cling	klɪŋ	цепляться,  крепко держаться
parliament	'pɑ:lǝmǝnt	парламент,  имбирный пряник
assault	ǝ'sɔ:lt	атаковать,  штурмовать
fuse	fju:z	процесс плавления,  предохранитель,  взрыватель
stomach	'stʌmǝk	желудок,  терпеть
income	'ɪŋkʌm, 'ɪnkʌm	доход,  прибыль
hammer	'hæmǝ	молоток
adhesive	ǝd'hi:sɪv	липкий,  клейкий,  связывающий
actually	'ækʧʊǝlɪ	на самом деле,  в действительности
case	keɪs	случай,  коробка,  защищать,  покрывать
boring	bɔ:rɪŋ	бурение,  сверление
agitate	æʤɪteɪt	агитировать,  волновать,  взбалтывать
scratch	skræʧ	царапать,  скрести
frying-pan	'fraɪɪŋpæn	сковорода с ручкой
target	'tɑ:gɪt	цель,  мишень
wrap	ræp	завёртывать,  оболочка
bike	baɪk	велосипед,  мотоцикл
servant	'sɜ:v(ǝ)nt	слуга
cushion	'kʊʃ(ǝ)n	диванная подушка
ship	ʃɪp	корабль
suppose	sǝ'pǝʊz	думать,  предполагать
blast	blɑ:st	порыв ветра,  взрыв,  ударная волна,  курение трубки
clasp	klɑ:sp	прикреплять,  застёгивать
brand	brænd	торговая марка,  бренд,  выжигать клеймо
direction	dɪ'rekʃ(ǝ)n	направление
district	'dɪstrɪkt	район,  округ
cloak-room	'klǝʊkrʊm	гардероб,  вешалка
envelope	'envǝlǝʊp	конверт
complex	'kɒmpleks	совокупность,  комплекс,  группа
soil	sɒɪl	грунт,  почва,  пачкать,  давать скоту зелёный корм
